,Name,Price,Year,Kms_Driven,Owner_type,City
5513,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5514,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5515,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5516,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5517,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5518,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5519,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5520,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5521,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5522,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5523,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5524,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5525,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5526,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5527,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5528,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5529,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5530,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5531,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5532,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5533,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5534,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5535,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5536,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5537,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5538,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5539,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5540,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5541,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5542,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5543,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5544,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5545,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5546,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5547,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5548,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5549,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5550,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5551,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5552,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5553,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5554,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5555,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5556,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5557,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5558,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5559,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5560,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5561,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5562,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5563,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5564,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5565,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5566,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5567,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5568,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5569,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5570,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5571,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5572,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5573,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5574,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5575,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5576,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5577,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5578,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5579,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5580,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5581,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5582,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5583,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5584,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5585,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5586,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5587,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5588,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5589,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5590,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5591,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5592,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5593,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5594,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5595,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5596,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5597,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5598,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5599,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5600,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5601,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5602,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5603,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5604,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5605,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5606,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5607,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5608,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5609,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5610,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5611,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5612,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5613,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5614,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5615,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5616,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5617,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5618,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5619,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5620,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5621,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5622,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5623,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5624,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5625,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5626,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5627,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5628,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5629,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5630,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5631,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5632,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5633,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5634,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5635,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5636,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5637,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5638,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5639,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5640,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5641,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5642,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5643,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5644,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5645,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5646,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5647,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5648,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5649,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5650,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5651,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5652,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5653,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5654,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5655,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5656,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5657,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5658,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5659,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5660,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5661,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5662,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5663,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5664,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5665,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5666,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5667,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5668,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5669,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5670,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5671,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5672,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5673,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5674,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5675,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5676,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5677,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5678,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5679,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5680,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5681,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5682,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5683,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5684,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5685,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5686,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5687,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5688,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5689,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5690,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5691,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5692,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5693,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5694,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5695,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5696,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5697,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5698,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5699,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5700,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5701,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5702,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5703,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5704,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5705,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5706,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5707,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5708,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5709,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5710,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5711,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5712,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5713,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5714,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5715,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5716,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5717,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5718,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5719,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5720,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5721,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5722,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5723,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5724,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
5725,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
5726,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
5727,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
5728,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
5729,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
5730,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
5731,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
5732,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
5733,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
5734,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
5735,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
5736,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
5737,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
5738,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
5739,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
5740,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
5741,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
5742,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
5743,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
5744,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
