,Name,Price,Year,Kms_Driven,Owner_type,City
2910,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
2911,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
2912,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
2913,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
2914,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
2915,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
2916,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
2917,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
2918,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
2919,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
2920,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
2921,"2020, Yamaha FZ S FI Standard - BS VI [2020] ","90,000 ",2020 model,"10,600  kms",1st Owner,Durgapur 
2922,"2018, Aprilia SR 150 Facelift ","75,000 ",2018 model,"4,000  kms",1st Owner,Delhi 
2923,"2017, Yamaha FZ25 Standard BS4 ","75,000 ",2017 model,"14,000  kms",1st Owner,Bangalore 
2924,"2013, Royal Enfield Classic Desert Storm Single Disc ","1,10,000 ",2013 model,"65,000  kms",1st Owner,Pune 
2925,"2020, Hero Maestro Edge 125 Alloy Wheel - Drum - BS VI ","70,000 ",2020 model,"8,500  kms",1st Owner,Jaipur 
2926,"2019, Yamaha YZF R15 V3 [2018 - 2021] Monster Energy Edition ","1,20,000 ",2019 model,"15,400  kms",1st Owner,Cuttack 
2927,"2014, Royal Enfield Classic Desert Storm Single Disc ","1,30,000 ",2014 model,"9,004  kms",1st Owner,Panchkula 
2928,"2019, Bajaj Dominar 400 Standard - BS IV ","1,40,000 ",2019 model,"15,000  kms",3rd Owner,Ulhasnagar 
2929,"2014, Honda Activa [2000-2015] Deluxe ","18,000 ",2014 model,"48,500  kms",1st Owner,Delhi 
2930,"2017, KTM 250 Duke Standard ","1,50,000 ",2017 model,"50,000  kms",2nd Owner,Cuddalore 
2931,"2018, Suzuki Intruder 150 Standard - BS IV ","60,000 ",2018 model,"53,000  kms",1st Owner,Vasai 
2932,"2018, Yamaha Fazer FI V 2.0 [2016-2018] Standard ","50,000 ",2018 model,"40,000  kms",3rd Owner,Bharatpur 
2933,"2017, TVS Victor Disc ","45,000 ",2017 model,"10,000  kms",1st Owner,Serampore 
2934,"2015, TVS Jupiter Standard ","35,000 ",2015 model,"4,500  kms",1st Owner,Delhi 
2935,"2011, Hero Karizma [2003-2014] R ","35,000 ",2011 model,"42,000  kms",1st Owner,Hyderabad 
2936,"2016, Bajaj Avenger Street 220 Standard ","60,000 ",2016 model,"17,000  kms",1st Owner,Mumbai 
2937,"2020, TVS XL 100 Standard ","40,000 ",2020 model,"35,000  kms",1st Owner,Delhi 
2938,"2021, Aprilia SXR 160 Standard ","1,10,000 ",2021 model,"8,800  kms",1st Owner,Tiruppur 
2939,"2022, Hero Xpulse 200 4V Standard ","1,45,000 ",2022 model,"12,000  kms",1st Owner,Visakhapatnam 
2940,"2019, Kawasaki Ninja 650 Standard ","6,50,000 ",2019 model,"8,020  kms",1st Owner,Hyderabad 
